1653722262204,gps,48.0,64.73120472190304,20.975852421156674
1653722263204,gps,48.0,64.7312204004569,20.97579591743234
1653722264196,gps,48.0,64.73121902123026,20.97575583399326
1653722265196,gps,48.0,64.7312211024389,20.975716143414896
1653722266196,gps,12.0,64.7312164573117,20.975726933675016
1653722267196,gps,8.0,64.73121695463936,20.975714672759803
1653722268000,gps,8.0,64.73121701774097,20.975704510628812
1653722269000,gps,8.0,64.73121908201355,20.975701578785007
1653722270000,gps,8.0,64.73122216415378,20.97569573573503
1653722271000,gps,12.0,64.7312220075183,20.975690271573
1653722272000,gps,8.0,64.73122358581307,20.975676421211016
1653722273000,gps,6.0,64.731223664694,20.975671312644643
1653722274000,gps,12.0,64.7312256598459,20.97567541273748
1653722275000,gps,8.0,64.73122422711916,20.975670249117435
1653722276000,gps,8.0,64.73122226057353,20.975665905057724
1653722277000,gps,16.0,64.73122095864981,20.975668077688077
1653722278000,gps,16.0,64.73122080229605,20.97567066406538
1653722279000,gps,16.0,64.73121553429255,20.97566776826765
1653722280000,gps,16.0,64.73121477970518,20.97567944126225
1653722281000,gps,8.0,64.73121520888158,20.97568678450237
1653722282000,gps,12.0,64.73123426157349,20.975692466111095
1653722283000,gps,12.0,64.73124251204418,20.975701988910256
1653722284000,gps,8.0,64.73124251204418,20.975701988910256
1653722285000,gps,6.0,64.73124251204418,20.975701988910256
1653722286000,gps,8.0,64.73124251204418,20.975701988910256
1653722287000,gps,6.0,64.73124251204418,20.975701988910256
1653722288000,gps,6.0,64.73124251204418,20.975701988910256
1653722289000,gps,6.0,64.73124251204418,20.975701988910256
1653722290000,gps,8.0,64.73124251204418,20.975701988910256
1653722291000,gps,8.0,64.73124251204418,20.975701988910256
1653722292000,gps,8.0,64.73124251204418,20.975701988910256
1653722293000,gps,6.0,64.73124251204418,20.975701988910256
1653722294000,gps,6.0,64.73124251204418,20.975701988910256
1653722295000,gps,6.0,64.73124251204418,20.975701988910256
1653722296000,gps,6.0,64.73124251204418,20.975701988910256
1653722297000,gps,8.0,64.73124251204418,20.975701988910256
1653722298000,gps,8.0,64.73124251204418,20.975701988910256
1653722299000,gps,6.0,64.73124251204418,20.975701988910256
1653722300000,gps,8.0,64.73124251204418,20.975701988910256
1653722301000,gps,8.0,64.73124251204418,20.975701988910256
1653722302000,gps,8.0,64.73124251204418,20.975701988910256
1653722303000,gps,6.0,64.73124251204418,20.975701988910256
1653722304000,gps,8.0,64.73124251204418,20.975701988910256
1653722305000,gps,6.0,64.73124251204418,20.975701988910256
1653722306000,gps,6.0,64.73124251204418,20.975701988910256
1653722307000,gps,6.0,64.73124251204418,20.975701988910256
1653722308000,gps,6.0,64.73124251204418,20.975701988910256
1653722309000,gps,6.0,64.73124251204418,20.975701988910256
1653722310000,gps,6.0,64.73124251204418,20.975701988910256
1653722311000,gps,6.0,64.73124251204418,20.975701988910256
1653722312000,gps,6.0,64.73124251204418,20.975701988910256
1653722313000,gps,6.0,64.73124251204418,20.975701988910256
1653722314000,gps,6.0,64.73124251204418,20.975701988910256
1653722315000,gps,6.0,64.73124251204418,20.975701988910256
1653722316000,gps,8.0,64.73124251204418,20.975701988910256
1653722317000,gps,8.0,64.73124251204418,20.975701988910256
1653722318000,gps,6.0,64.73124251204418,20.975701988910256
1653722319000,gps,6.0,64.73124251204418,20.975701988910256
1653722320000,gps,6.0,64.73124251204418,20.975701988910256
1653722321000,gps,6.0,64.73124251204418,20.975701988910256
1653722322000,gps,8.0,64.73124251204418,20.975701988910256
1653722323000,gps,8.0,64.73124251204418,20.975701988910256
1653722324000,gps,8.0,64.73124251204418,20.975701988910256
1653722325000,gps,6.0,64.73124251204418,20.975701988910256
1653722326000,gps,6.0,64.73124251204418,20.975701988910256
1653722327000,gps,8.0,64.73124251204418,20.975701988910256
1653722328000,gps,8.0,64.73124251204418,20.975701988910256
1653722329000,gps,8.0,64.73124251204418,20.975701988910256
1653722330000,gps,12.0,64.73124251204418,20.975701988910256
1653722331000,gps,8.0,64.73124251204418,20.975701988910256
1653722332000,gps,12.0,64.73124251204418,20.975701988910256
1653722333000,gps,12.0,64.73124251204418,20.975701988910256
1653722334000,gps,8.0,64.73124251204418,20.975701988910256
1653722335000,gps,8.0,64.73124251204418,20.975701988910256
1653722336000,gps,8.0,64.73124251204418,20.975701988910256
1653722337000,gps,12.0,64.73124251204418,20.975701988910256
1653722338000,gps,8.0,64.73124251204418,20.975701988910256
1653722339000,gps,6.0,64.73124251204418,20.975701988910256
1653722340000,gps,8.0,64.73124251204418,20.975701988910256
1653722341000,gps,8.0,64.73124251204418,20.975701988910256
1653722342000,gps,8.0,64.73124251204418,20.975701988910256
1653722343000,gps,8.0,64.73124251204418,20.975701988910256
1653722344000,gps,8.0,64.73124251204418,20.975701988910256
1653722345000,gps,8.0,64.73130819467819,20.975641117556766
1653722346000,gps,16.0,64.7313113742107,20.975653239685016
1653722347000,gps,16.0,64.73131138449872,20.975654106668834
1653722348000,gps,16.0,64.73131131953708,20.97565767280765
1653722349000,gps,8.0,64.73131125359166,20.97568254300729
1653722350000,gps,12.0,64.73131193513106,20.975693966034907
1653722351000,gps,16.0,64.7313147838655,20.975701040742944
1653722352000,gps,8.0,64.73131556253043,20.975715343688133
1653722353000,gps,16.0,64.7313169309016,20.975715469186962
1653722354000,gps,8.0,64.73131305306,20.975729257404996
1653722355000,gps,8.0,64.73131377540267,20.975741860660833
1653722356000,gps,8.0,64.7313137744325,20.975743325865114
1653722357000,gps,8.0,64.73131582040834,20.97574264825619
